ID,m00,m10,m01,cx,cy,mu20,mu02,mu11,Circularity,IsCircleLike
53,2.0000,2287.0000,8.0000,1143.5000,4.0000,0.5000,0.0000,0.0000,1.2732,NO
54,1.0000,1147.0000,4.0000,1147.0000,4.0000,0.0000,0.0000,0.0000,0.0000,NO
55,31.0000,35406.0000,270.0000,1142.1290,8.7097,1055.4839,228.3871,-484.8387,0.1191,NO
56,1.0000,157.0000,5.0000,157.0000,5.0000,0.0000,0.0000,0.0000,0.0000,NO
57,9.0000,4560.0000,53.0000,506.6667,5.8889,20.0000,4.8889,6.6667,0.5180,NO
58,7.0000,6760.0000,45.0000,965.7143,6.4286,7.4286,5.7143,4.8571,0.5934,NO
59,3.0000,2907.0000,15.0000,969.0000,5.0000,2.0000,0.0000,0.0000,0.7162,NO
60,1.0000,1002.0000,5.0000,1002.0000,5.0000,0.0000,0.0000,0.0000,0.0000,NO
61,1.0000,1107.0000,5.0000,1107.0000,5.0000,0.0000,0.0000,0.0000,0.0000,NO
62,1.0000,1138.0000,5.0000,1138.0000,5.0000,0.0000,0.0000,0.0000,0.0000,NO
63,2.0000,2283.0000,10.0000,1141.5000,5.0000,0.5000,0.0000,0.0000,1.2732,NO
64,1.0000,1145.0000,5.0000,1145.0000,5.0000,0.0000,0.0000,0.0000,0.0000,NO
65,1.0000,415.0000,6.0000,415.0000,6.0000,0.0000,0.0000,0.0000,0.0000,NO
66,3.0000,1957.0000,20.0000,652.3333,6.6667,0.6667,0.6667,0.3333,1.0743,NO
67,21.0000,22631.0000,168.0000,1077.6667,8.0000,100.6667,34.0000,-45.0000,0.5212,NO
68,1.0000,1143.0000,6.0000,1143.0000,6.0000,0.0000,0.0000,0.0000,0.0000,NO
69,2.0000,2307.0000,12.0000,1153.5000,6.0000,0.5000,0.0000,0.0000,1.2732,NO
70,127.0000,9523.0000,1513.0000,74.9843,11.9134,7431.9685,578.0472,1474.8268,0.3205,NO
71,2.0000,135.0000,14.0000,67.5000,7.0000,0.5000,0.0000,0.0000,1.2732,NO
72,65.0000,13291.0000,734.0000,204.4769,11.2923,1702.2154,383.4462,721.9385,0.3224,NO
73,36.0000,8496.0000,350.0000,236.0000,9.7222,230.0000,73.2222,-28.0000,0.6802,NO
74,5.0000,3103.0000,39.0000,620.6000,7.8000,1.2000,2.8000,0.6000,0.9947,NO
75,1.0000,991.0000,7.0000,991.0000,7.0000,0.0000,0.0000,0.0000,0.0000,NO
76,1.0000,1141.0000,7.0000,1141.0000,7.0000,0.0000,0.0000,0.0000,0.0000,NO
77,2.0000,2303.0000,14.0000,1151.5000,7.0000,0.5000,0.0000,0.0000,1.2732,NO
78,100.0000,114766.0000,1374.0000,1147.6600,13.7400,3862.4400,1293.2400,-2066.8400,0.3087,NO
79,75.0000,8049.0000,910.0000,107.3200,12.1333,798.3200,336.6667,251.8000,0.7888,YES
80,36.0000,5656.0000,380.0000,157.1111,10.5556,489.5556,70.8889,133.7778,0.3680,NO
81,2.0000,675.0000,16.0000,337.5000,8.0000,0.5000,0.0000,0.0000,1.2732,NO
82,1.0000,651.0000,8.0000,651.0000,8.0000,0.0000,0.0000,0.0000,0.0000,NO
83,1.0000,792.0000,8.0000,792.0000,8.0000,0.0000,0.0000,0.0000,0.0000,NO
84,1.0000,990.0000,8.0000,990.0000,8.0000,0.0000,0.0000,0.0000,0.0000,NO
85,1.0000,296.0000,9.0000,296.0000,9.0000,0.0000,0.0000,0.0000,0.0000,NO
86,1.0000,527.0000,9.0000,527.0000,9.0000,0.0000,0.0000,0.0000,0.0000,NO
87,1.0000,790.0000,9.0000,790.0000,9.0000,0.0000,0.0000,0.0000,0.0000,NO
88,11.0000,8711.0000,125.0000,791.9091,11.3636,10.9091,14.5455,-4.6364,0.7566,NO
89,4.0000,3328.0000,42.0000,832.0000,10.5000,0.0000,5.0000,0.0000,0.5093,NO
90,1.0000,968.0000,9.0000,968.0000,9.0000,0.0000,0.0000,0.0000,0.0000,NO
91,1.0000,993.0000,9.0000,993.0000,9.0000,0.0000,0.0000,0.0000,0.0000,NO
92,27.0000,31419.0000,293.0000,1163.6667,10.8519,126.0000,55.4074,-57.3333,0.6396,NO
93,3.0000,3749.0000,29.0000,1249.6667,9.6667,0.6667,0.6667,-0.3333,1.0743,NO
94,37.0000,1950.0000,496.0000,52.7027,13.4054,425.7297,90.9189,159.4595,0.4217,NO
95,1.0000,394.0000,10.0000,394.0000,10.0000,0.0000,0.0000,0.0000,0.0000,NO
96,9.0000,4955.0000,107.0000,550.5556,11.8889,10.2222,12.8889,9.5556,0.5578,NO
97,2.0000,1308.0000,21.0000,654.0000,10.5000,0.0000,0.5000,0.0000,1.2732,NO
98,2.0000,1732.0000,21.0000,866.0000,10.5000,0.0000,0.5000,0.0000,1.2732,NO
99,1.0000,994.0000,10.0000,994.0000,10.0000,0.0000,0.0000,0.0000,0.0000,NO
100,1.0000,125.0000,11.0000,125.0000,11.0000,0.0000,0.0000,0.0000,0.0000,NO
101,10.0000,1285.0000,123.0000,128.5000,12.3000,22.5000,8.1000,9.5000,0.5201,NO
102,2.0000,969.0000,22.0000,484.5000,11.0000,0.5000,0.0000,0.0000,1.2732,NO
103,1.0000,522.0000,11.0000,522.0000,11.0000,0.0000,0.0000,0.0000,0.0000,NO
